Region,Province,City_Mun,Storm Name,Category,Days occur,Year, Affected_FAM ,Totally damaged house,Partially damaged house,,Region,,Year,,Region,Province,Municipality,Magnitude,Incident,Year,Affected Population_FAM,Totally House,Partially House,,Cyclone Name,Category,Days cccur,,CYCLONE DATA,,,,,,,EARTHQUAKE DATA,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,Subic,Hanna,Tropical Storm,5 3/7,03/08/2019, 1 ,0,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Pampanga,Santa Rita,6.1,Castillejos 6.1 EQ,22/04/2019,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,Abra de Ilog,Hanna,Tropical Storm,5 3/7,03/08/2019, 27 ,0,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Pampanga,Sasmuan (Sexmoan),6.1,Castillejos 6.1 EQ,22/04/2019,250,10,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,Magsaysay,Hanna,Tropical Storm,5 3/7,03/08/2019, 100 ,0,0,,,,03/08/2019,,REGION III (CENTRAL LUZON),Zambales,San Marcelino,6.1,Castillejos 6.1 EQ,22/04/2019,288,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,Mamburao (capital),Hanna,Tropical Storm,5 3/7,03/08/2019, 154 ,0,11,,,,03/08/2019,,REGION III (CENTRAL LUZON),Zambales,Subic,6.1,Castillejos 6.1 EQ,22/04/2019,104,2,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,Paluan,Hanna,Tropical Storm,5 3/7,03/08/2019, 58 ,0,0,,,,03/08/2019,,REGION VIII (EASTERN VISAYAS),Eastern Samar,Can-Avid,6.5,San Julian 6.5 EQ,23/04/2019,28,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,Rizal,Hanna,Tropical Storm,5 3/7,03/08/2019, 13 ,0,0,,,,03/08/2019,,REGION VIII (EASTERN VISAYAS),Eastern Samar,San Julian,6.5,San Julian 6.5 EQ,23/04/2019,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,Sablayan,Hanna,Tropical Storm,5 3/7,03/08/2019, 142 ,0,0,,,,03/08/2019,,REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Gandara,6.5,San Julian 6.5 EQ,23/04/2019,26,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Occidental Mindoro,San Jose,Hanna,Tropical Storm,5 3/7,03/08/2019," 2,615 ",0,0,,,,03/08/2019,,REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Matuguinao,6.5,San Julian 6.5 EQ,23/04/2019,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Palawan,Busuanga,Hanna,Tropical Storm,5 3/7,03/08/2019, 9 ,0,0,,,,03/08/2019,,REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Pagsanghan,6.5,San Julian 6.5 EQ,23/04/2019,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Palawan,Coron,Hanna,Tropical Storm,5 3/7,03/08/2019, 752 ,0,0,,,,03/08/2019,,REGION VIII (EASTERN VISAYAS),Samar (Western Samar),San Jorge,6.5,San Julian 6.5 EQ,23/04/2019,119,0,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Palawan,Culion,Hanna,Tropical Storm,5 3/7,03/08/2019," 3,446 ",0,0,,,,03/08/2019,,REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Santa Margarita,6.5,San Julian 6.5 EQ,23/04/2019,64,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Palawan,El Nido (Bacuit),Hanna,Tropical Storm,5 3/7,03/08/2019, 91 ,0,0,,,,03/08/2019,,REGION VIII (EASTERN VISAYAS),Samar (Western Samar),Pinabacdao,6.5,San Julian 6.5 EQ,23/04/2019,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Palawan,Taytay,Hanna,Tropical Storm,5 3/7,03/08/2019, 1 ,0,0,,,,03/08/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),Makilala,5.6,Makilala 5.6 EQ,09/07/2019,153,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,Carles,Hanna,Tropical Storm,5 3/7,03/08/2019," 8,955 ",0,0,,,,03/08/2019,,REGION XIII (CARAGA),Surigao Del Sur,Cantilan,5.5,Carrascal 5.5 EQ,13/07/2019,"1,184",40,"1,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,Concepcion,Hanna,Tropical Storm,5 3/7,03/08/2019," 5,229 ",0,0,,,,03/08/2019,,REGION XIII (CARAGA),Surigao Del Sur,Carmen,5.5,Carrascal 5.5 EQ,13/07/2019,400,4,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,Estancia,Hanna,Tropical Storm,5 3/7,03/08/2019," 1,067 ",0,0,,,,03/08/2019,,REGION XIII (CARAGA),Surigao Del Sur,Carrascal,5.5,Carrascal 5.5 EQ,13/07/2019,147,1,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Negros Occidental,Binalbagan,Hanna,Tropical Storm,5 3/7,03/08/2019, 1 ,0,0,,,,03/08/2019,,REGION XIII (CARAGA),Surigao Del Sur,Lanuza,5.5,Carrascal 5.5 EQ,13/07/2019,8,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Negros Occidental,Cauayan,Hanna,Tropical Storm,5 3/7,03/08/2019, 8 ,2,6,,,,03/08/2019,,REGION XIII (CARAGA),Surigao Del Sur,Madrid,5.5,Carrascal 5.5 EQ,13/07/2019,476,7,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Negros Occidental,City of La Carlota,Hanna,Tropical Storm,5 3/7,03/08/2019, 249 ,0,0,,,,03/08/2019,,REGION II (CAGAYAN VALLEY),Batanes,Itbayat,5.4,Itbatyat 5.4 EQ,27/07/2019,"1,025",182,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Negros Occidental,Pontevedra,Hanna,Tropical Storm,5 3/7,03/08/2019, 79 ,1,13,,,,03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Negros Occidental,City of Sipalay,Hanna,Tropical Storm,5 3/7,03/08/2019, 22 ,5,17,,,,03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Bangued (capital),Hanna,Tropical Storm,5 3/7,03/08/2019, 4 ,0,0,,,,03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,City of Baguio,Hanna,Tropical Storm,5 3/7,03/08/2019, 26 ,1,7,,,,03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Bokod,Hanna,Tropical Storm,5 3/7,03/08/2019, 2 ,0,2,,,,03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Buguias,Hanna,Tropical Storm,5 3/7,03/08/2019, 1 ,0,1,,,,03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Itogon,Hanna,Tropical Storm,5 3/7,03/08/2019, 348 ,0,12,,,,03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Kibungan,Hanna,Tropical Storm,5 3/7,03/08/2019, 5 ,0,2,,,,03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,La Trinidad (capital),Hanna,Tropical Storm,5 3/7,03/08/2019, 9 ,0,0,,,,03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Mankayan,Hanna,Tropical Storm,5 3/7,03/08/2019, 1 ,1,0,,,,03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Tuba,Hanna,Tropical Storm,5 3/7,03/08/2019, 20 ,0,0,,,,03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Sagada,Hanna,Tropical Storm,5 3/7,03/08/2019, 1 ,0,0,,,,03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Adams,Ineng,Tropical Storm,4 2/3,20/08/2019, 10 ,0,1,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Bacarra,Ineng,Tropical Storm,4 2/3,20/08/2019," 1,239 ",1,21,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Bangui,Ineng,Tropical Storm,4 2/3,20/08/2019, 319 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,CITY OF BATAC,Ineng,Tropical Storm,4 2/3,20/08/2019, 608 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Burgos,Ineng,Tropical Storm,4 2/3,20/08/2019, 422 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Currimao,Ineng,Tropical Storm,4 2/3,20/08/2019, 73 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Dingras,Ineng,Tropical Storm,4 2/3,20/08/2019, 5 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,CITY OF LAOAG (Capital),Ineng,Tropical Storm,4 2/3,20/08/2019," 7,838 ",10,16,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Marcos,Ineng,Tropical Storm,4 2/3,20/08/2019, 64 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Nueva Era,Ineng,Tropical Storm,4 2/3,20/08/2019, 376 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Pagudpud,Ineng,Tropical Storm,4 2/3,20/08/2019, 375 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Paoay,Ineng,Tropical Storm,4 2/3,20/08/2019," 1,171 ",0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Pasuquin,Ineng,Tropical Storm,4 2/3,20/08/2019," 2,169 ",3,8,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Piddig,Ineng,Tropical Storm,4 2/3,20/08/2019," 1,279 ",7,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,San Nicolas,Ineng,Tropical Storm,4 2/3,20/08/2019," 2,363 ",0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Sarrat,Ineng,Tropical Storm,4 2/3,20/08/2019, 401 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Solsona,Ineng,Tropical Storm,4 2/3,20/08/2019, 16 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Vintar,Ineng,Tropical Storm,4 2/3,20/08/2019, 585 ,2,20,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),La Union,Agoo,Ineng,Tropical Storm,4 2/3,20/08/2019, 17 ,1,1,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),La Union,Bauang,Ineng,Tropical Storm,4 2/3,20/08/2019, 49 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),La Union,Caba,Ineng,Tropical Storm,4 2/3,20/08/2019, 1 ,1,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),La Union,Pugo,Ineng,Tropical Storm,4 2/3,20/08/2019, 1 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),La Union,CITY OF SAN FERNANDO (Capital),Ineng,Tropical Storm,4 2/3,20/08/2019, 32 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Pangasinan,Santa Barbara,Ineng,Tropical Storm,4 2/3,20/08/2019, 720 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Batanes,Itbayat,Ineng,Tropical Storm,4 2/3,20/08/2019, 35 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,Candelaria,Ineng,Tropical Storm,4 2/3,20/08/2019, 54 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,Masinloc,Ineng,Tropical Storm,4 2/3,20/08/2019, 45 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,Santa Cruz,Ineng,Tropical Storm,4 2/3,20/08/2019, 191 ,0,0,,,,20/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Pagudpud,Jenny,Tropical Storm,2 2/3,26/08/2019, 9 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Pangasinan,Calasiao,Jenny,Tropical Storm,2 2/3,26/08/2019," 2,428 ",0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Pangasinan,City of Dagupan,Jenny,Tropical Storm,2 2/3,26/08/2019, 16 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Pangasinan,Labrador,Jenny,Tropical Storm,2 2/3,26/08/2019, 2 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Pangasinan,Santa Barbara,Jenny,Tropical Storm,2 2/3,26/08/2019," 1,030 ",0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Aurora,Casiguran,Jenny,Tropical Storm,2 2/3,26/08/2019, 56 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Aurora,Dilasag,Jenny,Tropical Storm,2 2/3,26/08/2019, 208 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Aurora,Dinalungan,Jenny,Tropical Storm,2 2/3,26/08/2019, 188 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Aurora,Maria Aurora,Jenny,Tropical Storm,2 2/3,26/08/2019, 39 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,Santa Cruz,Jenny,Tropical Storm,2 2/3,26/08/2019, 61 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Dolores,Jenny,Tropical Storm,2 2/3,26/08/2019, 70 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Malibcong,Jenny,Tropical Storm,2 2/3,26/08/2019, 5 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Manabo,Jenny,Tropical Storm,2 2/3,26/08/2019, 4 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Santa Marcela,Jenny,Tropical Storm,2 2/3,26/08/2019, 17 ,8,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Buguias,Jenny,Tropical Storm,2 2/3,26/08/2019, 3 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Itogon,Jenny,Tropical Storm,2 2/3,26/08/2019, 52 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,Tuba,Jenny,Tropical Storm,2 2/3,26/08/2019, 3 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Aguinaldo,Jenny,Tropical Storm,2 2/3,26/08/2019, 3 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Banaue,Jenny,Tropical Storm,2 2/3,26/08/2019, 1 ,0,0,,,,26/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,City of Batac,Kabayan,Tropical Depression, 1/2,01/09/2019, 176 ,0,2,,,,01/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Currimao,Kabayan,Tropical Depression, 1/2,01/09/2019, 880 ,0,0,,,,01/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Paoay,Kabayan,Tropical Depression, 1/2,01/09/2019," 1,810 ",0,0,,,,01/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga Del Norte,Liloy,Marilyn,Tropical Depression,2 4/5,12/09/2019, 1 ,0,0,,,,12/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga Del Norte,Sibuco,Marilyn,Tropical Depression,2 4/5,12/09/2019, 141 ,0,0,,,,12/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga Del Sur,CITY OF ZAMBOANGA,Marilyn,Tropical Depression,2 4/5,12/09/2019," 1,535 ",0,0,,,,12/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Del Sur,CITY OF DAVAO,Marilyn,Tropical Depression,2 4/5,12/09/2019, 35 ,0,0,,,,12/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),South Cotabato,CITY OF GENERAL SANTOS (DADIANGAS),Marilyn,Tropical Depression,2 4/5,12/09/2019, 119 ,22,97,,,,12/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),Sultan Kudarat,Kalamansig,Marilyn,Tropical Depression,2 4/5,12/09/2019, 416 ,22,53,,,,12/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),Sultan Kudarat,Lebak,Marilyn,Tropical Depression,2 4/5,12/09/2019, 832 ,0,5,,,,12/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Pangasinan,Balungao,Nimfa,Tropical Storm,3 3/4,19/09/2019, 572 ,0,0,,,,19/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Hingyon,Nimfa,Tropical Storm,3 3/4,19/09/2019, 2 ,1,1,,,,19/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,Lagawe (capital),Nimfa,Tropical Storm,3 3/4,19/09/2019, 1 ,0,1,,,,19/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Nueva Ecija,Licab,Nimfa,Tropical Storm,3 3/4,19/09/2019," 1,303 ",0,0,,,,19/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Nueva Ecija,Zaragoza,Nimfa,Tropical Storm,3 3/4,19/09/2019, 69 ,0,0,,,,19/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Pampanga,Apalit,Nimfa,Tropical Storm,3 3/4,19/09/2019, 54 ,0,0,,,,19/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Pampanga,Masantol,Nimfa,Tropical Storm,3 3/4,19/09/2019," 6,366 ",0,0,,,,19/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Pampanga,City of San Fernando (capital),Nimfa,Tropical Storm,3 3/4,19/09/2019, 23 ,0,0,,,,19/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Tarlac,La Paz,Nimfa,Tropical Storm,3 3/4,19/09/2019," 1,149 ",0,0,,,,19/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Paoay,Quiel,Tropical Storm,4    ,10/11/2019, 227 ,2,0,,,,10/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Abulug,Quiel,Tropical Storm,4    ,10/11/2019," 5,168 ",36,0,,,,10/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Allacapan,Quiel,Tropical Storm,4    ,10/11/2019," 6,232 ",0,0,,,,10/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Aparri,Quiel,Tropical Storm,4    ,10/11/2019," 4,396 ",0,0,,,,10/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Baggao,Quiel,Tropical Storm,4    ,10/11/2019, 10 ,0,0,,,,10/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Ballesteros,Quiel,Tropical Storm,4    ,10/11/2019, 381 ,0,0,,,,10/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Buguey,Quiel,Tropical Storm,4    ,10/11/2019, 950 ,0,0,,,,10/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Camalaniugan,Quiel,Tropical Storm,4    ,10/11/2019, 965 ,0,0,,,,10/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Claveria,Quiel,Tropical Storm,4    ,10/11/2019," 2,262 ",0,1,,,,10/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
