Region,Province,City_Mun,Storm Name,Category,Days occur,Year, Affected_FAM ,Totally damaged house,Partially damaged house,,Region,,Year,,Region,Province,Municipality,Magnitude,Incident,Year,Affected Population_FAM,Totally House,Partially House,,Cyclone Name,Category,Days cccur,,CYCLONE DATA,,,,,,,EARTHQUAKE DATA,,,,,,,,,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao Del Sur,Bayabas,Amang,Tropical Depression,2 3/4,19/01/2019, 62 ,0,0,,REGION XII (SOCCSKSARGEN),,19/01/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),City Of Kidapawan (Capital),6.6,Tulunan 6.6 EQ,29/10/2019,"6,713","1,681","4,016",,Ursula,Typhoon,5 2/7,,Province,Affected Families,House damages,,,,,Magnitude, Affected Province,,Province, Affected Families,House damages,,Zambales,,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao Del Sur,Carrascal,Amang,Tropical Depression,2 3/4,19/01/2019, 74 ,0,0,,REGION XIII (CARAGA),,19/01/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),Magpet,6.6,Tulunan 6.6 EQ,29/10/2019,"2,770",111,863,,,,,,Leyte,"194,615","7,060",,,,,5.4,1,,Davao Del Sur,"112,344","11,626",,6.5,,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao Del Sur,Lanuza,Amang,Tropical Depression,2 3/4,19/01/2019, 45 ,0,0,,,,19/01/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),Makilala,6.6,Tulunan 6.6 EQ,29/10/2019,"20,704","18,997","1,707",,Cyclone, Agriculture, Infrastructure,,Northern Samar,"149,330","10,545",,,,,5.5,5,,Cotabato (North Cotabato),"46,286","22,474",,Eastern Samar,,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao Del Sur,Tagbina,Amang,Tropical Depression,2 3/4,19/01/2019, 21 ,0,0,,,,19/01/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),Matalam,6.6,Tulunan 6.6 EQ,29/10/2019,649,10,524,,Ineng & Jenny,"209,064","31,400",,Capiz,"139,872","12,689",,,,,5.6,1,,Pampanga,"4,616","1,002",,Samar (Western Samar),,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Del Sur,City of Davao,Chedeng,Tropical Depression,2 1/4,17/03/2019, 5 ,0,0,,,,17/03/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),M'Lang,6.6,Tulunan 6.6 EQ,29/10/2019,"2,099",535,"1,456",,Tisoy,"3,701,081","2,944,998",,Samar (Western Samar),"121,350","4,404",,,,,5.9,7,,Grand Total,163246,35102,,6.6,,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Oriental,Cateel,Chedeng,Tropical Depression,2 1/4,17/03/2019, 16 ,0,0,,,,17/03/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),President Roxas,6.6,Tulunan 6.6 EQ,29/10/2019,305,21,238,,Ursula,"3,925,679","456,105",,Aklan,"120,420","9,889",,,,,6.1,16,,,,,,Cotabato (North Cotabato),,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Oriental,City of Mati (capital),Chedeng,Tropical Depression,2 1/4,17/03/2019, 105 ,0,0,,,,17/03/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),Tulunan,6.6,Tulunan 6.6 EQ,29/10/2019,"11,896","1,057","2,006",,Grand Total,"7,835,824","3,432,503",,Grand Total,"725,587","44,587",,,,,6.5,8,,,,,,Davao Del Sur,,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Oriental,San Isidro,Chedeng,Tropical Depression,2 1/4,17/03/2019, 997 ,0,0,,,,17/03/2019,,REGION XI (DAVAO REGION),Davao Occidental,Malita (Capital),6.6,Tulunan 6.6 EQ,29/10/2019,1,1,0,,,,,,,,,,,,,6.6,24,,,,,,Davao Occidental,,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Oriental,Tarragona,Chedeng,Tropical Depression,2 1/4,17/03/2019, 56 ,4,15,,,,17/03/2019,,REGION XI (DAVAO REGION),Davao Occidental,Santa Maria,6.6,Tulunan 6.6 EQ,29/10/2019,200,65,135,,Cyclone, Dead , Injured, Missing,,,,,,,,6.8,25,,,,,,South Cotabato,,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Occidental,Don Marcelino,Chedeng,Tropical Depression,2 1/4,17/03/2019, 227 ,0,0,,,,17/03/2019,,REGION XII (SOCCSKSARGEN),South Cotabato,Tupi,6.6,Tulunan 6.6 EQ,29/10/2019,18,1,17,,Quiel,6,4,13,,,,,,,,Grand Total,87,,,,,,Sultan Kudarat,,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Occidental,Malita (Capital),Chedeng,Tropical Depression,2 1/4,17/03/2019, 203 ,0,0,,,,17/03/2019,,REGION XII (SOCCSKSARGEN),Sultan Kudarat,Columbio,6.6,Tulunan 6.6 EQ,29/10/2019,38,14,24,,Tisoy,4,31,0,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bulacan,Bocaue,Egay,Tropical Depression,4    ,29/06/2019, 30 ,0,0,,,,29/06/2019,,REGION X (NORTHERN MINDANAO),Bukidnon,Damulog,5.9,Kadingilan 5.9 EQ,18/11/2019,21,0,21,,Ursula,57,369,6,,,,,,,,Magnitude,Epicenter,Province,Injuries,Deaths,,,Cotabato (North Cotabato),,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,Castillejos,Egay,Tropical Depression,4    ,29/06/2019, 28 ,0,0,,,,29/06/2019,,REGION X (NORTHERN MINDANAO),Bukidnon,Dangcagan,5.9,Kadingilan 5.9 EQ,18/11/2019,66,1,1,,Grand Total,67,404,19,,,,,,,,5.4,Itbayat,Batanes,63,8,,,Davao Del Sur,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Zambales,City of Olongapo,Egay,Tropical Depression,4    ,29/06/2019, 10 ,0,0,,,,29/06/2019,,REGION X (NORTHERN MINDANAO),Bukidnon,Don Carlos,5.9,Kadingilan 5.9 EQ,18/11/2019,164,0,0,,,,,,,,,,,,,5.5,Carrascal,Surigao del Sur,25,0,,,Davao Occidental,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,Burgos,Falcon,Tropical Storm,3 5/6,15/07/2019, 1 ,0,1,,,,15/07/2019,,REGION X (NORTHERN MINDANAO),Bukidnon,Kadingilan,5.9,Kadingilan 5.9 EQ,18/11/2019,657,386,271,,Amang,Sum of Days cccur,,,,,,,,,,6.1,Castillejos,Zambales,256,18,,,Sarangani,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Allacapan,Falcon,Tropical Storm,3 5/6,15/07/2019, 74 ,0,0,,,,15/07/2019,,REGION X (NORTHERN MINDANAO),Bukidnon,Kitaotao,5.9,Kadingilan 5.9 EQ,18/11/2019,141,23,121,,Tropical Depression,12,,,,,,,,,,6.5,San Julian,Eastern Samar,48,0,,,South Cotabato,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Aparri,Falcon,Tropical Storm,3 5/6,15/07/2019, 2 ,0,0,,,,15/07/2019,,REGION X (NORTHERN MINDANAO),Bukidnon,Maramag,5.9,Kadingilan 5.9 EQ,18/11/2019,63,49,0,,Amang,3,,,,,,,,,,6.6,Tulunan,Cotabato (North Cotabato),563,23,,,Sultan Kudarat,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Baggao,Falcon,Tropical Storm,3 5/6,15/07/2019, 1 ,0,0,,,,15/07/2019,,REGION X (NORTHERN MINDANAO),Bukidnon,City Of Valencia,5.9,Kadingilan 5.9 EQ,18/11/2019,2,0,2,,Chedeng,2,,,,,,,,,,6.8,Matanao,Davao del Sur,210,13,,,Grand Total,,,,,,,,,,,,,,
